fpl,understat,fpl_2024-25,opta_id
Kyle Walker,Kyle Walker,363.0,58621
Carney Chukwuemeka,Carney Chukwuemeka,161.0,478912
Victor Kristiansen,Victor Kristiansen,296.0,481510
Elliot Anderson,Elliot Anderson,423.0,215379
Guglielmo Vicario,Guglielmo Vicario,508.0,184254
Vitalii Mykolenko,Vitalii Mykolenko,231.0,224967
Flynn Downes,Flynn Downes,518.0,220585
Jack Harrison,Jack Harrison,224.0,221399
Justin Kluivert,Justin Kluivert,71.0,222683
Jacob Murphy,Jacob Murphy,402.0,114243
Callum Hudson-Odoi,Callum Hudson-Odoi,434.0,209046
Mohammed Kudus,Mohammed Kudus,525.0,460842
Jean-Ricner Bellegarde,Jean-Ricner Bellegarde,535.0,231057
Aaron Ramsdale,Aaron Ramsdale,14.0,225321
Lewis Hall,Lewis Hall,399.0,487838
Jack Hinshelwood,Jack Hinshelwood,126.0,532529
Max Kilman,Max Kilman,524.0,214048
Marcus Rashford,Marcus Rashford,385.0,176297
Tyler Dibling,Tyler Dibling,608.0,496661
Reiss Nelson,Reiss Nelson,10.0,200641
Chris Wood,Chris Wood,447.0,60689
Tyrone Mings,Tyrone Mings,49.0,149484
Dara O'Shea,Dara O'Shea,630.0,216616
James Garner,James Garner,223.0,232928
Abdul Fatawu,Abdul Fatawu,570.0,531442
Taylor Harwood-Bellis,Taylor Harwood-Bellis,461.0,245719
Wes Burns,Wes Burns,264.0,149929
Liam Delap,Liam Delap,268.0,463034
Caoimhin Kelleher,Caoimhin Kelleher,325.0,200720
Luis Díaz,Luis Díaz,327.0,244731
Crysencio Summerville,Crysencio Summerville,587.0,450070
Tim Ream,Tim Ream,253.0,82514
Hamza Choudhury,Hamza Choudhury,287.0,197469
Antonee Robinson,Antonee Robinson,255.0,169528
Lucas Bergvall,Lucas Bergvall,481.0,570526
Pau Torres,Pau Torres,52.0,244954
Chris Richards,Chris Richards,194.0,427623
Wesley Fofana,Wesley Fofana,189.0,444463
Milos Kerkez,Milos Kerkez,70.0,544877
Timo Werner,Timo Werner,509.0,165153
Samuel Edozie,Samuel Edozie,459.0,490503
Joachim Andersen,Joachim Andersen,191.0,174874
Daniel Jebbison,Daniel Jebbison,69.0,523700
Jay Stansfield,Jay Stansfield,256.0,490146
Jens Cajuste,Jens Cajuste,619.0,454667
Alex McCarthy,Alex McCarthy,469.0,58376
Wilfred Ndidi,Wilfred Ndidi,300.0,203341
Nick Pope,Nick Pope,413.0,98747
Mark Travers,Mark Travers,84.0,229600
Tyler Adams,Tyler Adams,60.0,200785
James McAtee,James McAtee,357.0,432714
Raheem Sterling,Raheem Sterling,186.0,103955
James Hill,James Hill,68.0,463981
Jarrod Bowen,Jarrod Bowen,514.0,178186
Iliman Ndiaye,Iliman Ndiaye,232.0,440993
Philip Billing,Philip Billing,76.0,168991
Dango Ouattara,Dango Ouattara,74.0,533463
James Ward-Prowse,James Ward-Prowse,531.0,101178
Christian Walton,Christian Walton,283.0,108813
Bart Verbruggen,Bart Verbruggen,146.0,489639
John Stones,John Stones,362.0,97299
Cameron Archer,Cameron Archer,27.0,433979
Boubacar Kamara,Boubacar Kamara,42.0,226944
Cole Palmer,Cole Palmer,182.0,244851
Naouirou Ahamada,Naouirou Ahamada,190.0,466117
Thomas Partey,Thomas Partey,20.0,167199
Robert Sánchez,Robert Sánchez,185.0,215059
Mykhailo Mudryk,Mykhailo Mudryk,179.0,465920
Tom Cairney,Tom Cairney,243.0,76357
Eberechi Eze,Eberechi Eze,199.0,232413
Fabian Schär,Fabian Schär,415.0,119471
Alexander Isak,Alexander Isak,401.0,219168
Ola Aina,Ola Aina,422.0,159506
Dejan Kulusevski,Dejan Kulusevski,492.0,445044
Victor Lindelöf,Victor Lindelöf,376.0,184667
James Tarkowski,James Tarkowski,236.0,17761
Daichi Kamada,Daichi Kamada,205.0,209400
Maxence Lacroix,Maxence Lacroix,650.0,437499
Guido Rodríguez,Guido Rodríguez,588.0,197024
Tosin Adarabioyo,Tosin Adarabioyo,187.0,109646
Andrew Robertson,Andrew Robertson,335.0,122798
Yves Bissouma,Yves Bissouma,482.0,227127
Nathaniel Clyne,Nathaniel Clyne,196.0,57328
Santiago Bueno,Santiago Bueno,564.0,231480
Leif Davis,Leif Davis,267.0,455084
Nathan Collins,Nathan Collins,88.0,432830
Jacob Ramsey,Jacob Ramsey,53.0,232653
Bryan Mbeumo,Bryan Mbeumo,99.0,446008
Matz Sels,Matz Sels,443.0,85633
Manor Solomon,Manor Solomon,502.0,235674
Giovani Lo Celso,Giovani Lo Celso,493.0,200826
Michail Antonio,Michail Antonio,512.0,57531
Levi Colwill,Levi Colwill,162.0,460028
Djed Spence,Djed Spence,504.0,232859
Sven Botman,Sven Botman,393.0,220237
Pedro Lomba Neto,Pedro Neto,560.0,247632
Facundo Pellistri Rebollo,Facundo Pellistri,384.0,488404
Carlos Alcaraz Durán,Carlos Alcaraz,450.0,502697
Yunus Emre Konak,Yunus Konak,97.0,628204
Bruno Borges Fernandes,Bruno Fernandes,366.0,141746
Toti António Gomes,Toti,567.0,510362
André Trindade da Costa Neto,André,642.0,509291
João Victor Gomes da Silva,João Gomes,553.0,448089
Renato Palma Veiga,Renato Veiga,184.0,551230
Miguel Almirón Rejala,Miguel Almirón,391.0,179018
Marc Cucurella Saseta,Marc Cucurella,163.0,179268
Rúben Gato Alves Dias,Rúben Dias,361.0,171314
Gabriel Martinelli Silva,Gabriel Martinelli,9.0,444145
Nélson Cabral Semedo,Nélson Semedo,559.0,200402
Sugawara Yukinari,Yukinari Sugawara,474.0,219279
Ederson Santana de Moraes,Ederson,347.0,121160
Darwin Núñez Ribeiro,Darwin Núñez,316.0,447203
Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes,548.0,181284
Diogo Dalot Teixeira,Diogo Dalot,369.0,216051
Andreas Hoelgebaum Pereira,Andreas Pereira,240.0,156689
Francisco Evanilson de Lima Barbosa,Evanilson,617.0,444102
Mateus Gonçalo Espanha Fernandes,Mateus Fernandes,623.0,551226
Rodrigo Muniz Carvalho,Rodrigo Muniz,251.0,244042
Tomiyasu Takehiro,Takehiro Tomiyasu,22.0,223723
Carlos Roberto Forbs Borges,Carlos Forbs,655.0,463212
Bernardo Veiga de Carvalho e Silva,Bernardo Silva,342.0,165809
Dominic Solanke-Mitchell,Dominic Solanke,82.0,154566
David Raya Martin,David Raya,15.0,154561
Igor Julio dos Santos de Paulo,Igor Julio,128.0,223434
Emerson Palmieri dos Santos,Emerson,520.0,109533
Diego Carlos Santos Silva,Diego Carlos,35.0,165659
Matheus Santos Carneiro Da Cunha,Matheus Cunha,541.0,430871
Marcus Myers-Harness,Marcus Harness,271.0,167191
Hugo Bueno López,Hugo Bueno,549.0,490721
João Pedro Junqueira de Jesus,João Pedro,129.0,475168
José Malheiro de Sá,José Sá,554.0,149065
Sávio 'Savinho' Moreira de Oliveira,Sávio,571.0,510281
Pape Matar Sarr,Pape Sarr,499.0,482442
Julián Araujo Zúñiga,Julián Araujo,592.0,436893
Rodrigo Martins Gomes,Rodrigo Gomes,563.0,483081
Omari Giraud-Hutchinson,Omari Hutchinson,274.0,503301
Álex Moreno Lopera,Álex Moreno,26.0,106468
Danilo dos Santos de Oliveira,Danilo,429.0,513046
Richarlison de Andrade,Richarlison,497.0,212319
Marc Guiu Paz,Marc Guiu,178.0,499309
Pervis Estupiñán,Estupiñán,122.0,204214
João Félix Sequeira,João Félix,621.0,428399
Fábio Ferreira Vieira,Fábio Vieira,1.0,438098
