player_game_id,player_name,game_id,team_name,minutes,shots,goals,key_passes,assists,xG,xA,understat_game_id,date,away
108135,Tyrick Mitchell,3853,Crystal Palace,90,0,0,0,0,0.0,0.0,26654,2024-09-28,Crystal Palace
108136,Daichi Kamada,3853,Crystal Palace,63,0,0,1,0,0.0,0.05,26654,2024-09-28,Crystal Palace
108137,Adam Wharton,3853,Crystal Palace,90,2,0,3,0,0.03,0.11,26654,2024-09-28,Crystal Palace
108138,Eddie Nketiah,3853,Crystal Palace,74,2,0,0,0,0.11,0.0,26654,2024-09-28,Crystal Palace
108139,Jean-Philippe Mateta,3853,Crystal Palace,90,1,0,1,0,0.01,0.02,26654,2024-09-28,Crystal Palace
108140,Eberechi Eze,3853,Crystal Palace,90,5,0,2,0,0.17,0.07,26654,2024-09-28,Crystal Palace
108141,Jeffrey Schlupp,3853,Crystal Palace,16,1,0,0,0,0.05,0.0,26654,2024-09-28,Crystal Palace
108142,Ismaila Sarr,3853,Crystal Palace,27,0,0,0,0,0.0,0.0,26654,2024-09-28,Crystal Palace
108143,Will Hughes,3853,Crystal Palace,1,0,0,0,0,0.0,0.0,26654,2024-09-28,Crystal Palace
108144,David Raya,3854,Arsenal,90,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108145,Jurriën Timber,3854,Arsenal,90,2,0,7,1,0.17,0.57,26655,2024-09-28,Leicester
108146,Gabriel,3854,Arsenal,90,3,0,0,0,0.51,0.0,26655,2024-09-28,Leicester
108147,William Saliba,3854,Arsenal,90,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108148,Riccardo Calafiori,3854,Arsenal,90,3,0,2,0,0.53,0.08,26655,2024-09-28,Leicester
108149,Bukayo Saka,3854,Arsenal,90,7,0,8,0,0.38,1.57,26655,2024-09-28,Leicester
108150,Thomas Partey,3854,Arsenal,88,0,0,1,0,0.0,0.05,26655,2024-09-28,Leicester
108151,Declan Rice,3854,Arsenal,90,3,0,2,0,0.07,0.46,26655,2024-09-28,Leicester
108152,Gabriel Martinelli,3854,Arsenal,77,5,1,2,1,0.85,0.52,26655,2024-09-28,Leicester
108153,Leandro Trossard,3854,Arsenal,90,4,1,3,0,1.31,0.24,26655,2024-09-28,Leicester
108154,Kai Havertz,3854,Arsenal,90,7,1,0,0,2.24,0.0,26655,2024-09-28,Leicester
108155,Gabriel Jesus,3854,Arsenal,1,1,0,0,0,0.1,0.0,26655,2024-09-28,Leicester
108156,Raheem Sterling,3854,Arsenal,13,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108157,Ethan Nwaneri,3854,Arsenal,2,1,0,1,0,0.02,0.1,26655,2024-09-28,Leicester
108158,Mads Hermansen,3854,Leicester,90,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108159,James Justin,3854,Leicester,90,3,2,0,0,0.21,0.0,26655,2024-09-28,Leicester
