season,gw,fpl_element,local_understat_id,local_understat_fixture,fpl_name,understat_name,position,fpl_team,understat_team,opponent_fpl_team_number,fpl_kickoff_time,understat_date,value,points,minutes,goals_scored,xG,goals_conceded,assists,xA,yellow_cards,red_cards,clean_sheets,key_passes,own_goals,penalties_missed,penalties_saved,saves,bonus,team_a_score,team_h_score,was_home,expected_assists,expected_goals
2024-25,11,517,,,Aaron Cresswell,Aaron Cresswell,2,20,,6,2024-11-09T15:00:00Z,,40,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,True,0.0,0.0
2024-25,12,517,,,Aaron Cresswell,Aaron Cresswell,2,20,,23,2024-11-25T20:00:00Z,,40,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,0,False,0.0,0.0
2024-25,13,517,,,Aaron Cresswell,Aaron Cresswell,2,20,,1,2024-11-30T17:30:00Z,,40,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,5,2,True,0.0,0.0
2024-25,14,517,,,Aaron Cresswell,Aaron Cresswell,2,20,,8,2024-12-03T20:15:00Z,,40,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,3,False,0.0,0.0
2024-25,15,517,110928.0,3945.0,Aaron Cresswell,Aaron Cresswell,2,20,West Ham,26,2024-12-09T20:00:00Z,2024-12-09,40,1,2,0,0.0,0,0,0.11,0,0,0,1.0,0,0,0,0,0,1,2,True,0.06,0.0
2024-25,16,517,,,Aaron Cresswell,Aaron Cresswell,2,20,,2,2024-12-16T20:00:00Z,,39,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,False,0.0,0.0
2024-25,17,517,,,Aaron Cresswell,Aaron Cresswell,2,20,,21,2024-12-21T15:00:00Z,,39,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,True,0.0,0.0
2024-25,18,517,111938.0,3978.0,Aaron Cresswell,Aaron Cresswell,2,20,West Ham,13,2024-12-26T15:00:00Z,2024-12-26,39,1,22,0,0.0,0,0,0.03,0,0,0,1.0,0,0,0,0,0,1,0,False,0.03,0.0
2024-25,19,517,,,Aaron Cresswell,Aaron Cresswell,2,20,,9,2024-12-29T17:15:00Z,,39,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,5,0,True,0.0,0.0
2024-25,20,517,,,Aaron Cresswell,Aaron Cresswell,2,20,,10,2025-01-04T15:00:00Z,,39,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,4,False,0.0,0.0
2024-25,21,517,112756.0,4006.0,Aaron Cresswell,Aaron Cresswell,2,20,West Ham,25,2025-01-14T19:30:00Z,2025-01-14,39,1,9,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,3,True,0.0,0.0
2024-25,22,517,113137.0,4019.0,Aaron Cresswell,Aaron Cresswell,2,20,West Ham,5,2025-01-18T15:00:00Z,2025-01-18,39,1,55,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,2,0,True,0.0,0.0
2024-25,6,381,,,Scott McTominay,Scott McTominay,3,11,,17,2024-09-29T15:30:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,3,0,True,0.0,0.0
2024-25,7,381,,,Scott McTominay,Scott McTominay,3,11,,27,2024-10-06T13:00:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,False,0.0,0.0
2024-25,8,381,,,Scott McTominay,Scott McTominay,3,11,,31,2024-10-19T14:00:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,2,True,0.0,0.0
2024-25,9,381,,,Scott McTominay,Scott McTominay,3,11,,20,2024-10-27T14:00:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,2,False,0.0,0.0
2024-25,10,381,,,Scott McTominay,Scott McTominay,3,11,,4,2024-11-03T16:30:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,True,0.0,0.0
2024-25,11,381,,,Scott McTominay,Scott McTominay,3,11,,8,2024-11-10T14:00:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,3,True,0.0,0.0
2024-25,12,381,,,Scott McTominay,Scott McTominay,3,11,,34,2024-11-24T16:30:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,False,0.0,0.0
2024-25,13,381,,,Scott McTominay,Scott McTominay,3,11,,6,2024-12-01T13:30:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,4,True,0.0,0.0
2024-25,14,381,,,Scott McTominay,Scott McTominay,3,11,,1,2024-12-04T20:15:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,2,False,0.0,0.0
2024-25,15,381,,,Scott McTominay,Scott McTominay,3,11,,32,2024-12-07T17:30:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,3,2,True,0.0,0.0
